steps,loss
0,5.112255789981343
1,4.51452892011373
2,3.9170230494209655
3,3.3199735354424185
4,2.724218558025993
5,2.144595491872538
6,1.6860824152300289
7,1.5119285765457748
8,1.439542904268805
9,1.4252832447081731
